Image,Angle,Contrast center 1 = None,Contrast sorrounding 1 = None,Disparity,Response,Response_adjusted,Clockwise,Counterclockwise,Vertical
angle-10_cntr_center1_cntr_back0.4_s_no_.png,-10,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-15_cntr_center1_cntr_back0.4_s_no_.png,-15,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-20_cntr_center1_cntr_back0.4_s_no_.png,-20,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-25_cntr_center1_cntr_back0.4_s_no_.png,-25,1.0,0.4,no,Anticlockwise.,anticlockwise,0,1,0
angle-30_cntr_center1_cntr_back0.4_s_no_.png,-30,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-35_cntr_center1_cntr_back0.4_s_no_.png,-35,1.0,0.4,no,Vertical,vertical,0,0,1
angle-40_cntr_center1_cntr_back0.4_s_no_.png,-40,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-45_cntr_center1_cntr_back0.4_s_no_.png,-45,1.0,0.4,no,Vertical,vertical,0,0,1
angle-50_cntr_center1_cntr_back0.4_s_no_.png,-50,1.0,0.4,no,Vertical,vertical,0,0,1
angle-55_cntr_center1_cntr_back0.4_s_no_.png,-55,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-5_cntr_center1_cntr_back0.4_s_no_.png,-5,1.0,0.4,no,Anticlockwise.,anticlockwise,0,1,0
angle-60_cntr_center1_cntr_back0.4_s_no_.png,-60,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-65_cntr_center1_cntr_back0.4_s_no_.png,-65,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-70_cntr_center1_cntr_back0.4_s_no_.png,-70,1.0,0.4,no,Vertical,vertical,0,0,1
angle-75_cntr_center1_cntr_back0.4_s_no_.png,-75,1.0,0.4,no,Vertical,vertical,0,0,1
angle-80_cntr_center1_cntr_back0.4_s_no_.png,-80,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-85_cntr_center1_cntr_back0.4_s_no_.png,-85,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-90_cntr_center1_cntr_back0.4_s_no_.png,-90,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle0_cntr_center0_cntr_back0_s_control_.png,,,,,Clockwise.,clockwise,1,0,0
angle0_cntr_center1_cntr_back0.4_s_no_.png,0,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle10_cntr_center1_cntr_back0.4_s_no_.png,10,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle15_cntr_center1_cntr_back0.4_s_no_.png,15,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle20_cntr_center1_cntr_back0.4_s_no_.png,20,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle25_cntr_center1_cntr_back0.4_s_no_.png,25,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle30_cntr_center1_cntr_back0.4_s_no_.png,30,1.0,0.4,no,Vertical,vertical,0,0,1
angle35_cntr_center1_cntr_back0.4_s_no_.png,35,1.0,0.4,no,Vertical,vertical,0,0,1
angle40_cntr_center1_cntr_back0.4_s_no_.png,40,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle45_cntr_center1_cntr_back0.4_s_no_.png,45,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle50_cntr_center1_cntr_back0.4_s_no_.png,50,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle55_cntr_center1_cntr_back0.4_s_no_.png,55,1.0,0.4,no,Vertical,vertical,0,0,1
angle5_cntr_center1_cntr_back0.4_s_no_.png,5,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle60_cntr_center1_cntr_back0.4_s_no_.png,60,1.0,0.4,no,Vertical,vertical,0,0,1
angle65_cntr_center1_cntr_back0.4_s_no_.png,65,1.0,0.4,no,Vertical,vertical,0,0,1
angle70_cntr_center1_cntr_back0.4_s_no_.png,70,1.0,0.4,no,Vertical,vertical,0,0,1
angle75_cntr_center1_cntr_back0.4_s_no_.png,75,1.0,0.4,no,Vertical,vertical,0,0,1
angle80_cntr_center1_cntr_back0.4_s_no_.png,80,1.0,0.4,no,Vertical,vertical,0,0,1
angle85_cntr_center1_cntr_back0.4_s_no_.png,85,1.0,0.4,no,Vertical,vertical,0,0,1
angle90_cntr_center1_cntr_back0.4_s_no_.png,90,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-10_cntr_center1_cntr_back0.4_s_no_.png,-10,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-15_cntr_center1_cntr_back0.4_s_no_.png,-15,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-20_cntr_center1_cntr_back0.4_s_no_.png,-20,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-25_cntr_center1_cntr_back0.4_s_no_.png,-25,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-30_cntr_center1_cntr_back0.4_s_no_.png,-30,1.0,0.4,no,Vertical,vertical,0,0,1
angle-35_cntr_center1_cntr_back0.4_s_no_.png,-35,1.0,0.4,no,Vertical,vertical,0,0,1
angle-40_cntr_center1_cntr_back0.4_s_no_.png,-40,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-45_cntr_center1_cntr_back0.4_s_no_.png,-45,1.0,0.4,no,Vertical,vertical,0,0,1
angle-50_cntr_center1_cntr_back0.4_s_no_.png,-50,1.0,0.4,no,Vertical,vertical,0,0,1
angle-55_cntr_center1_cntr_back0.4_s_no_.png,-55,1.0,0.4,no,Anticlockwise.,anticlockwise,0,1,0
angle-5_cntr_center1_cntr_back0.4_s_no_.png,-5,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-60_cntr_center1_cntr_back0.4_s_no_.png,-60,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-65_cntr_center1_cntr_back0.4_s_no_.png,-65,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-70_cntr_center1_cntr_back0.4_s_no_.png,-70,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-75_cntr_center1_cntr_back0.4_s_no_.png,-75,1.0,0.4,no,Vertical,vertical,0,0,1
angle-80_cntr_center1_cntr_back0.4_s_no_.png,-80,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-85_cntr_center1_cntr_back0.4_s_no_.png,-85,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-90_cntr_center1_cntr_back0.4_s_no_.png,-90,1.0,0.4,no,Anticlockwise.,anticlockwise,0,1,0
angle0_cntr_center0_cntr_back0_s_control_.png,,,,,Clockwise.,clockwise,1,0,0
angle0_cntr_center1_cntr_back0.4_s_no_.png,0,1.0,0.4,no,Anticlockwise.,anticlockwise,0,1,0
angle10_cntr_center1_cntr_back0.4_s_no_.png,10,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle15_cntr_center1_cntr_back0.4_s_no_.png,15,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle20_cntr_center1_cntr_back0.4_s_no_.png,20,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle25_cntr_center1_cntr_back0.4_s_no_.png,25,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle30_cntr_center1_cntr_back0.4_s_no_.png,30,1.0,0.4,no,Vertical,vertical,0,0,1
angle35_cntr_center1_cntr_back0.4_s_no_.png,35,1.0,0.4,no,Vertical,vertical,0,0,1
angle40_cntr_center1_cntr_back0.4_s_no_.png,40,1.0,0.4,no,Vertical,vertical,0,0,1
angle45_cntr_center1_cntr_back0.4_s_no_.png,45,1.0,0.4,no,Vertical,vertical,0,0,1
angle50_cntr_center1_cntr_back0.4_s_no_.png,50,1.0,0.4,no,Vertical,vertical,0,0,1
angle55_cntr_center1_cntr_back0.4_s_no_.png,55,1.0,0.4,no,Vertical,vertical,0,0,1
angle5_cntr_center1_cntr_back0.4_s_no_.png,5,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle60_cntr_center1_cntr_back0.4_s_no_.png,60,1.0,0.4,no,Vertical,vertical,0,0,1
angle65_cntr_center1_cntr_back0.4_s_no_.png,65,1.0,0.4,no,Vertical,vertical,0,0,1
angle70_cntr_center1_cntr_back0.4_s_no_.png,70,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle75_cntr_center1_cntr_back0.4_s_no_.png,75,1.0,0.4,no,Vertical,vertical,0,0,1
angle80_cntr_center1_cntr_back0.4_s_no_.png,80,1.0,0.4,no,The orientation of the lines in the center circle is vertical.,vertical,0,0,1
angle85_cntr_center1_cntr_back0.4_s_no_.png,85,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle90_cntr_center1_cntr_back0.4_s_no_.png,90,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-10_cntr_center1_cntr_back0.4_s_no_.png,-10,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-15_cntr_center1_cntr_back0.4_s_no_.png,-15,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-20_cntr_center1_cntr_back0.4_s_no_.png,-20,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-25_cntr_center1_cntr_back0.4_s_no_.png,-25,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-30_cntr_center1_cntr_back0.4_s_no_.png,-30,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-35_cntr_center1_cntr_back0.4_s_no_.png,-35,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-40_cntr_center1_cntr_back0.4_s_no_.png,-40,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-45_cntr_center1_cntr_back0.4_s_no_.png,-45,1.0,0.4,no,Vertical,vertical,0,0,1
angle-50_cntr_center1_cntr_back0.4_s_no_.png,-50,1.0,0.4,no,Vertical,vertical,0,0,1
angle-55_cntr_center1_cntr_back0.4_s_no_.png,-55,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-5_cntr_center1_cntr_back0.4_s_no_.png,-5,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-60_cntr_center1_cntr_back0.4_s_no_.png,-60,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-65_cntr_center1_cntr_back0.4_s_no_.png,-65,1.0,0.4,no,Vertical,vertical,0,0,1
angle-70_cntr_center1_cntr_back0.4_s_no_.png,-70,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-75_cntr_center1_cntr_back0.4_s_no_.png,-75,1.0,0.4,no,Vertical,vertical,0,0,1
angle-80_cntr_center1_cntr_back0.4_s_no_.png,-80,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-85_cntr_center1_cntr_back0.4_s_no_.png,-85,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle-90_cntr_center1_cntr_back0.4_s_no_.png,-90,1.0,0.4,no,Anticlockwise.,anticlockwise,0,1,0
angle0_cntr_center0_cntr_back0_s_control_.png,,,,,Anticlockwise.,anticlockwise,0,1,0
angle0_cntr_center1_cntr_back0.4_s_no_.png,0,1.0,0.4,no,Clockwise.,clockwise,1,0,0
angle10_cntr_center1_cntr_back0.4_s_no_.png,10,1.0,0.4,no,Clockwise.,clockwise,1,0,0
